Questions,Category
Kailan nasagawa Ito?,Numeric
Sino ang mahal mo?,Human
Sino ka ba?,Human
Sino ang nagmamay ari nito?,Human
Alin Dito ang mas sulit?,Entity
Alin sa dalawa?,Entity
Alin ang mas mahirap?,Entity
Saan ka tutungo?,Location
Saan ka nakatira?,Location
Saan siya nadapa?,Location
Ano ang tamang sagot?,Entity
Ano ang ginagawa niya?,Entity
Ano ang kaya mong gawin?,Entity
Bakit hindi ka nagpakita? ,Description
Bakit wala kang alam? ,Description
Bakit tayo naghiwalay?,Description
Paano mo ako pasasayahin? ,Description
Paano tayo makakarating doon?,Description
Paano mo itong ginawa?,Description
Kailan ka ba magsasabi ng totoo?,Numeric
Kailan ko ito gagamitin?,Numeric
Kailan kayo maghihiwalay?,Numeric
Sino ang nanay mo?,Human
Sino ang nagpatay sa kanya?,Human
Sino ang walang libro dito?,Human
Alin sa mga bagay na dala mo ang iyong gagamitin? ,Entity
Alin dito ang kakainin namin?,Entity
Alin doon ang mas kaya mong gawin?,Entity
Saan ka magbibihis?,Location
Saan ka patungo?,Location
Saan ba tayo pupunta? ,Location
Ano bang kulang sa 'kin?,Entity
Anong meron sa kanya na wala ako?,Entity
Anong pakiramdam ng laging naiiwan?,Entity
Bakit mo ko iniwan?,Description
Bakit di mo ko pinaglaban?,Description
Bakit pa natin sinimulan kung sa huli iiwan mo rin lang naman?,Description
Paano mo nagawa sa'kin 'to?,Description
Paano na ang bukas kung wala ka? Paano ka nakakatulog sa gabi?,Description
Kailan mo naisipang bumitaw?,Numeric
Kailan ka nagsawa?,Numeric
Kailan mo ko babalikan?,Numeric
Sino siya?,Human
Sino ka para saktan ako nang ganito?,Human
Sino ka para paiyakin ako gabi-gabi?,Human
Alin sa mga katangian ko ang ayaw mo na?,Entity
Alin sa mga magagandang alaala ang kinalimutan mo na?,Entity
Alin sa mga katangian nya ang wala sa 'kin?,Entity
Saan ako nagkulang?,Description
Saan ka nang kailangan kita?,Description
Saan ka sa panahong walang wala ako?,Description
Ano ang kailangan kong gawin para ako naman ang mahalin niya?,Description
Anu-ano ang mga wala ako na meron sa kanya?,Description
Bakit minahal ko siya kahit alam ko na may mahal siyang iba?,Description
Bakit nga ba ang puso pagnamamahal na ay sadyang nakakapagtaka?,Description
Bakit mahirap mag-move on?,Description
Paano ko sasabihin sa kanya na unti-unti nang nahuhulog ang puso ko para sa kanya?,Description
Paano na ang puso ko kung may mahal na siyang iba?,Description
Paano nga ba ang tamang paraan ng pagmamahal para hindi ka masaktan?,Description
Hanggang kailan ako maghihintay sa kanya?,Description
Kailan darating ang araw na ako naman ang magpapatibok ng puso niya? ,Numeric
Sino na nga ba ako sa buhay nya?,Human
Sino sa amin ang mas matimbang para sa kanya?,Human
Alin ang gusto mo?,Entity
Saan patungo ang pagkakaibigan namin?,Description
Saan hahantong ang mga pangyayaring ito?,Description
Ano ang nais mo para sa akin?,Description
Ano ba ang nararamdaman mo?,Description
Anong hilig mong pagkain?,Entity
Bakit ang pangit niya?,Description
Bakit mahal niya ako?,Description
Bakit labis akong nasasaktan ngayon?,Description
Paano na lang ag buhay kung wala ka?,Description
Paano ba ang magmahal?,Description
Paano ba kita iibigin?,Description
Kailan kaya ako papasok sa pakikipagrelasyon?,Numeric
Kailan ba ang pagtatapos namin?,Description
Kailan mo tutuparin ang pangako mo sa akin?,Description
Sino ang mahal mo?,Human
Sino ba ang gusto mo?,Human
Sino ba ang nilalaman ng iyong puso?,Human
Alin sa dalawa ang pipiliin mo?,Human
Alin dito ang gusto mo?,Entity
Alin dyaan ang walang kwenta para sayo?,Entity
Saan ang una niyong pagkikita?,Numeric
Saan ka pupunta?,Location
Saan mo gustong pumunta?,Location
Ano ba ang wala ako na meron sya?,Entity
Ano ang sagot sa tanong kung bakit ako mahalaga?,Description
Ano ang pinagkaiba ko sa girlfriend mo ngayon?,Description
Ano ang pinakanagustohan mo sa kanya at sya ang pinili mo?,Description
Ano ba talaga ako sayo?,Description
Bakit ang ganda ko araw-araw?,Description
Bakit mahal ko sya?,Description
Bakit tumataba ako ngayon?,Description
Bakit napakabobo ko?,Description
Bakit masakit ang magmahal?,Description
Paano ba kita mapapaibig sa akin?,Description
Paano nga ba natutulog ang mga isda?,Description
Paano kaya ako makakatulog mamaya?,Description
Paano ako kung wala ka?,Description
Paano ako magiging masaya?,Description
Kailan ba kita magiging syota?,Numeric
Kailan ba ako sasaya uli?,Description
Kailan kaya ang uwian mamaya?,Numeric
Kailan ako sunod na dadalawin?,Numeric
Kailan kaya ako magmamahal muli?,Description
Sino ang kumagat sa logo ng apple at bakit hindi nya ito inubos?,Human
"Sino ang pipiliin ko, mahal ko o mahal ako?",Human
Sino ang pinakasalan ng ex ko?,Human
Sino ang nakabuntis kay Nene?,Human
Sino ang nagtapon ng basura?,Human
"Alin ang mas malaki, bulsa ni Doraemon o bag ni Dora?",Human
"Alin ang mas masarap, cake sa Goldilocks o Red Ribbon?",Entity
"Alin ang mas malaki, si B1 o si B2?",Entity
"Alin ang mas mabuting lider, si Duterte o si Trump?",Human
"Alin ang mas masarap panghimagas, halo-halo o sorbetes?",Entity
Saan ka nong kailangan kita?,Description
Saan na yung ballpen ko?,Location
Saan ako nagkamali?,Description
Saan nga ba ako patungo?,Location
Saan ba yung department tindahan?,Location
Ano ang iyong pangalan?,Human
Ano ba ang pagkakaintindi mo sa mga nabanggit ko?,Description
Anong mga bagay ang nakahiligan mong gawin?,Description
Bakit tila malungkot ka?,Description
Bakit daw siya biglang umalis?,Description
Bakit ka ba nangungulit?,Description
Paano mo nalaman ang bagay na yan?,Description
Paano ba magluto ng menudo?,Description
Paano ba ko makakabawi sa kasalanan ko sa'yo?,Description
Kailan ka dumating galing France?,Numeric
Kailan ba ang alis ni'yo?,Numeric
Kailan mo gustong kunin ang mga gamit mo?,Numeric
Sino bang mas mahalaga sa'yo?,Human
Sinu-sino raw ang dadalo?,Human
Sino yang kasama mo?,Human
Alin dito ang gusto mo?,Entity
Alin ba sa dalawang damit na ito ang mas maganda?,Entity
Alin dyan ang nais mo ng itapon?,Entity
Saan naman ang punta mo?,Location
Saan ka makikituloy habang wala ka pang matitirhan?,Location
Saan mo nabili ang pangkulay na yan?,Location
ano pangalan mo?,Human
ano yang ginagawa mo?,Description
ano ba problema mo?,Description
bakit niya ko iniwan?,Description
bakit siya ganun?,Description
"bakit sa dami dami ng tao, siya pa?",Description
paano nagka ganoon?,Description
paano ba magbago?,Description
paano ba magmahal?,Description
Hanggang kailan ako mahihintay?,Description
kailan mo balak mahalin ako?,Description
kailan pa nagsimula ang lahat?,Description
sino ang pipipiliin ko?,Human
sino ang dapat managot?,Human
sino ang dapat kong piliin?,Human
alin ang naiba?,Entity
alin diyan ang gusto mo?,Entity
alin ba dito ang pinapabili ni mama?,Entity
Saan ako nagkulang?,Description
Saan ako nagkamali?,Description
saan patungo ang langay-langayan?,Location
Ano ang pinakamalaking contribusyon ang nagawa mo para sa bayan?,Description
"Ano ang mas mahalaga para sayo, seguridad o kalayaan?",Entity
Ano ang pinakamasayang nangyari sa unang linggo mo sa ikalawang semestro ng colehiyo?,Description
"Bakit kaya may nasasaktan sa isang relasyon kung ""mahal"" naman nila ang isa't-isa?",Description
Bakit ang hirap gumawa ng mga tanong na tagalog?,Description
"Bakit, hanggang ngayon, ay nag-iisip pa rin ako ng mga tanong na wala namang kahulugan?",Description
Paano mo sasagutin ang pasulit kung linunod kana ng maraming pagsusulit sa buhay mo?,Description
Paano mo labanan ang kahinaan ng lakas?,Description
Paano maging tunay na masaya?,Description
Kailan kaya ako tatapos sa kolehiyo?,Numeric
Kailan ko kaya maramdaman ang tunay na kaligayahan?,Description
Kailan kaya ako makapunta sa Scotland?,Description
Sino si Uvuvwevwevwe Onyetenyevwe Ugwemubwem Ossas?,Description
Sino si Jon Snow at bakit wala siyang alam?,Description
Sino ang taong nagpasaya sayo?,Human
"Alin ang mas mabigat, hustisya o ang paghiganti?",Entity
"Alin sa dalawa ang mas masarap, gatas na choco o choco na gatas?",Entity
"Alin ang mas mahalaga para sayo, kaligayahan o  kayamanan?",Entity
Saan ako susunod magbasa?,Location
"Saan pupunta sa Frodo at Sam, sa Gondor o sa Rivendell?",Location
Saan nakatira si Uvuvwevwevwe Onyetenyevwe Ugwemubwem Ossas?,Location
Ano ang pangalan mo?,Human
Ano ang hilig mong gawin para pang palipas ng oras?,Description
Ano ang ibig mong sabihin?,Description
Bakit ka masaya?,Description
Bakit may mga taong nanakit ng ibang tao?,Description
Bakit palaging umuulan?,Description
Paano naging mahirap ang buhay?,Description
Paano maging isang prinsesa?,Description
Paano magmahal ng taong ayaw mo?,Description
Kailan kaya ako sisikat?,Description
Kailan dadating ang taong para sa akin?,Description
Kailan magiging akin ang corona?,Description
Sino ang asawa mo?,Human
Sino ang bagong pangulo ng Amerika?,Human
Sino ang nanalo sa paligsahan?,Human
Alin sa mga damit na ito ang gusto mo?,Entity
Alin sa mga sagot ang tama?,Entity
Alin dito ang kukunin mo?,Entity
Saan na ba si Juan?,Location
Saan magaganap ang paligsahan?,Location
Saan ko makikita ang pinkamataas na bundok sa mundo?,Location
"Ano ang importante, pag-aaral o lovelife?",Entity
"Ano ang nauna, manok o itlog?",Entity
Ano ang pinakaimportanteng bagay sa buhay mo?,Description
Bakit mo ako sinaktan?,Description
Bakit mo ako niloko?,Description
Bakit ginawa mo iyon?,Description
Paano mo maayos ang relasyong nasira?,Description
Paano magluto ng sinigang?,Description
Paano mo ako nagawang saktan?,Description
Kailan mo ginawa iyon?,Description
Kailan ang kaarawan mo?,Numeric
Kailan ka pa mamatay?,Description
Sino ang mahal mo?,Human
Sino ang iibigin mo?,Human
Sino ang pinakaimportanteng tao sa buhay mo?,Human
Alin sa mga ito ang pipiliin mo?,Entity
Alin dito ang naiba?,Entity
Alin ang nasira?,Entity
Saan ka magpapakasal?,Location
Saan kayo magtatrabaho?,Location
Saan kaya ako matutulog?,Location
Ano ang magandang iregalo sa boyfriend?,Entity
Ano ang ibig sabihin ng simbolo ng peace?,Description
Ano ang kinakain ng tipaklong?,Entity
Bakit mahirap ang chemistry?,Description
Bakit may mga taong mahirap makaintindi?,Description
Bakit hindi sweet ang ibang mga lalaki?,Description
Paano alisin ang mantsa sa damit?,Description
Paano magtupi ng bra?,Description
Paano maging maganda ang boses?,Description
Kailan kaya namin matatapos ang thesis?,Description
Kailan nagsimula ang Valentine's Day?,Numeric
Kailan kaya puputi ang uwak?,Description
Sino si  Messi?,Description
Sino ang susunod na Miss Universe?,Human
Sino ang nakaimbento ng lotion?,Human
"Alin ang mas masakit, LDR o LMB?",Entity
"Alin ang mas mahalaga, lovelife o thesis?",Entity
"Alin ang matibay, Nike or Adidas?",Entity
Saan sila ikakasal?,Location
Saan tayo kakain?,Location
Saan ang dulo ng walang hanggan?,Description
Ano sa tagalog ang salitang indecisive?,Description
